SSC_SEQ_NO,SSC_PES_JOB_NO,PERIOD_START,TURNSTILE_LEGAL_UNDER44,TURNSTILE_ILLEGAL_OVER44,HEET_BUMP,GATE_OPENED_WITH_KEY,GATE_WITHOUT_KEY,GATE_OPENED_BY_OTHERS,AGENT_AUTH_SCHOOL,AGENT_AUTH_NONSCHOOL,POLICE_PRESENT,SWIPE_SELLER,PANIC_ALARM,OBSV_TIME,CHECKER_ID,DATA_KEY,SURVEY_DATE,ASSET_TAG_NO
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD2000260,13:06,18,17,17,10,11,11,0,13,Yes,No,No,20211214-133327,38080,991209-N303WKD2000260-13:06-38080,12/2/2021,CAFFTab28
991209,N303WKD2000260,13:12,7,0,0,5,0,0,0,6,No,No,No,20211214-134007,38080,991209-N303WKD2000260-13:12-38080,12/2/2021,CAFFTab28
991209,N303WKD2000260,13:18,6,0,0,0,0,0,0,0,,,,20211214-134647,38080,991209-N303WKD2000260-13:18-38080,12/2/2021,CAFFTab28
991209,N303WKD2000260,13:24,0,0,0,0,0,0,0,0,,,,20211214-135147,38080,991209-N303WKD2000260-13:24-38080,12/2/2021,CAFFTab28
991209,N303WKD2000260,13:30,0,0,0,0,0,0,0,0,,,,20211214-135220,38080,991209-N303WKD2000260-13:30-38080,12/2/2021,CAFFTab28
991209,N303WKD2000260,13:36,2,0,0,3,0,0,0,0,No,No,No,20211214-140151,38080,991209-N303WKD2000260-13:36-38080,12/2/2021,CAFFTab28
991209,N303WKD2000260,13:42,0,0,0,0,0,0,0,0,,,,20211214-141011,38080,991209-N303WKD2000260-13:42-38080,12/2/2021,CAFFTab28
991209,N303WKD2000260,13:48,1,1,1,1,1,1,,,Yes,,,20211214-165831,38080,991209-N303WKD2000260-13:48-38080,12/2/2021,
991209,N303WKD3000345,10:06,4,5,0,7,5,0,0,0,,,,20211214-111741,38080,991209-N303WKD3000345-10:06-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:12,0,0,0,0,0,0,0,0,,,,20211214-112603,38080,991209-N303WKD3000345-10:12-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:18,0,0,0,0,0,0,0,0,,,,20211214-112924,38080,991209-N303WKD3000345-10:18-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:24,0,0,0,0,0,0,0,0,,,,20211214-113924,38080,991209-N303WKD3000345-10:24-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:30,0,0,0,0,0,0,0,0,,,,20211214-114606,38080,991209-N303WKD3000345-10:30-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:36,2,0,0,0,0,0,0,0,,,,20211214-115150,38080,991209-N303WKD3000345-10:36-38080,12/2/2021,
991209,N303WKD3000345,10:42,7,8,0,7,0,0,0,8,,,,20211214-115208,38080,991209-N303WKD3000345-10:42-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:48,5,2,0,6,2,0,0,0,No,Yes,Yes,20211214-120430,38080,991209-N303WKD3000345-10:48-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:54,5,4,2,0,0,0,0,8,Yes,No,No,20211214-120930,38080,991209-N303WKD3000345-10:54-38080,12/2/2021,CAFFTab28
991209,N303WKD2000260,13:00,4,5,0,4,0,0,0,0,No,Yes,Yes,20211214-132212,38080,991209-N303WKD2000260-13:00-38080,12/2/2021,CAFFTab28
